,Age group (years),2001,2004,2007,2010,2013,2016,2019
0,14-17,4.0,2.013422818791946,1.3513513513513513,1.3513513513513513,2.142857142857143,0.7751937984496124,1.550387596899225
1,18-24,13.333333333333334,13.422818791946309,13.513513513513514,13.513513513513514,14.285714285714285,7.751937984496124,7.751937984496124
2,25-29,13.333333333333334,13.422818791946309,13.513513513513514,13.513513513513514,14.285714285714285,15.503875968992247,7.751937984496124
3,30-39,26.666666666666668,26.845637583892618,20.27027027027027,20.27027027027027,21.428571428571427,23.25581395348837,15.503875968992247
4,40-49,20.0,20.13422818791946,20.27027027027027,20.27027027027027,21.428571428571427,23.25581395348837,23.25581395348837
5,50-59,13.333333333333334,13.422818791946309,20.27027027027027,20.27027027027027,14.285714285714285,15.503875968992247,23.25581395348837
6,60-69,6.0,6.7114093959731544,6.756756756756757,6.756756756756757,7.142857142857142,7.751937984496124,15.503875968992247
7,70+,3.3333333333333335,4.026845637583892,4.054054054054054,4.054054054054054,5.0,6.2015503875969,5.426356589147287
