,Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,veg(0)/nonveg(1),Category
225,Corn bread ground meal,1 serving,100,200.0,6.0,8.0,4.0,0.0,30.0,0,"Breads, cereals, fastfood,grains"
226,Cornflakes,1 cup,100,440.0,8.0,0.0,0.0,0.0,100.0,0,"Breads, cereals, fastfood,grains"
227,Corn grits cooked,1 cup,100,49.586776859504134,3.3057851239669422,0.0,0.0,0.0,11.157024793388429,0,"Breads, cereals, fastfood,grains"
228,Corn meal,1 cup,100,305.0847457627118,7.627118644067798,3.3898305084745757,1.6949152542372878,0.0,62.711864406779654,0,"Breads, cereals, fastfood,grains"
229,Crackers,2 med.,100,392.8571428571428,7.142857142857142,7.142857142857142,0.0,0.0,71.42857142857143,0,"Breads, cereals, fastfood,grains"
230,"Soda, 2 1/2 square",2,100,409.09090909090907,9.090909090909092,9.090909090909092,0.0,0.0,72.72727272727273,0,"Breads, cereals, fastfood,grains"
231,Farina,1 cup,100,44.11764705882353,1.2605042016806722,0.0,0.0,3.361344537815126,9.243697478991596,0,"Breads, cereals, fastfood,grains"
232,Flour,1 cup,100,418.1818181818182,35.45454545454545,20.0,0.0,0.0,30.0,0,"Breads, cereals, fastfood,grains"
233,Wheat (all purpose),1 cup,100,363.6363636363636,10.909090909090908,0.9090909090909092,0.0,0.0,76.36363636363636,0,"Breads, cereals, fastfood,grains"
234,Wheat (whole),1 cup,100,325.0,10.833333333333336,1.6666666666666667,0.0,0.0,65.83333333333333,0,"Breads, cereals, fastfood,grains"
235,Macaroni,1 cup,100,110.71428571428572,3.571428571428572,0.7142857142857143,0.0,0.0,22.857142857142854,0,"Breads, cereals, fastfood,grains"
236,Baked with cheese,1 cup,100,215.9090909090909,8.181818181818182,11.363636363636365,10.909090909090908,0.0,20.0,0,"Breads, cereals, fastfood,grains"
237,Muffins,1,100,281.25,8.333333333333334,10.416666666666666,8.333333333333334,0.0,39.583333333333336,0,"Breads, cereals, fastfood,grains"
238,Noodles,1 cup,100,125.0,4.375,1.25,1.25,0.0,23.125,0,"Breads, cereals, fastfood,grains"
239,Oatmeal,1 cup,100,63.5593220338983,2.1186440677966103,1.2711864406779658,0.8474576271186439,0.0,11.016949152542374,0,"Breads, cereals, fastfood,grains"
240,"Pancakes 4"" diam.",4,100,231.48148148148152,6.481481481481483,8.333333333333334,0.0,0.0,25.92592592592593,0,"Breads, cereals, fastfood,grains"
241,"Wheat, pancakes 4"" diam.",4,100,231.48148148148152,6.481481481481483,8.333333333333334,0.0,0.0,25.92592592592593,0,"Breads, cereals, fastfood,grains"
242,"Pizza 14"" diam.",1 section,100,240.0,10.666666666666666,8.0,6.666666666666668,0.0,30.66666666666667,0,"Breads, cereals, fastfood,grains"
243,Popcorn salted,2 cups,100,542.8571428571429,10.714285714285714,25.0,7.142857142857142,0.0,71.42857142857143,0,"Breads, cereals, fastfood,grains"
244,Puffed rice,1 cup,100,392.8571428571428,0.0,0.0,0.0,0.0,85.71428571428571,0,"Breads, cereals, fastfood,grains"
245,Puffed wheat presweetened,1 cup,100,375.0,3.571428571428572,0.0,0.0,0.0,92.85714285714286,0,"Breads, cereals, fastfood,grains"
246,Rice,1 cup,100,359.6153846153846,7.211538461538463,1.4423076923076923,0.0,0.0,74.03846153846153,0,"Breads, cereals, fastfood,grains"
247,Converted,1 cup,100,362.03208556149735,7.4866310160427805,0.0,0.0,0.0,75.93582887700535,0,"Breads, cereals, fastfood,grains"
248,White,1 cup,100,362.303664921466,7.329842931937172,0.0,0.0,0.0,78.53403141361257,0,"Breads, cereals, fastfood,grains"
249,Rice flakes,1 cup,100,383.33333333333326,6.666666666666668,0.0,0.0,0.0,86.66666666666669,0,"Breads, cereals, fastfood,grains"
250,Rice polish,1/2 cup,100,264.0,12.0,12.0,0.0,0.0,56.0,0,"Breads, cereals, fastfood,grains"
251,Rolls,1 large,100,822.0,6.0,24.0,22.0,0.0,46.0,0,"Breads, cereals, fastfood,grains"
252,of refined flour,1,100,302.63157894736844,7.894736842105262,5.2631578947368425,5.2631578947368425,0.0,52.631578947368425,0,"Breads, cereals, fastfood,grains"
253,whole-wheat,1,100,255.0,10.0,2.5,0.0,0.0,50.0,0,"Breads, cereals, fastfood,grains"
254,Spaghetti with meat sauce,1 cup,100,114.0,5.2,4.0,2.4,0.0,14.0,0,"Breads, cereals, fastfood,grains"
255,with tomatoes and cheese,1 cup,100,84.0,2.4,2.0,1.2,0.0,14.4,0,"Breads, cereals, fastfood,grains"
256,Spanish rice,1 cup,100,86.8,1.6,1.6,0.0,0.0,16.0,0,"Breads, cereals, fastfood,grains"
257,Shredded wheat biscuit,1,100,357.1428571428572,10.714285714285714,3.571428571428572,0.0,0.0,82.14285714285714,0,"Breads, cereals, fastfood,grains"
258,Waffles,1,100,320.0,10.666666666666666,12.0,1.3333333333333333,0.0,40.0,0,"Breads, cereals, fastfood,grains"
259,Wheat germ,1 cup,100,360.29411764705884,25.0,10.294117647058824,4.411764705882354,0.0,50.0,0,"Breads, cereals, fastfood,grains"
260,Wheat-germ cereal toasted,1 cup,100,400.0,30.76923076923077,10.769230769230768,4.615384615384615,0.0,55.384615384615394,0,"Breads, cereals, fastfood,grains"
261,Wheat meal cereal unrefined,3/4 cup,100,343.3333333333333,13.333333333333336,3.333333333333333,0.0,0.0,83.33333333333333,0,"Breads, cereals, fastfood,grains"
262,"Wheat, cooked",3/4 cup,100,137.5,6.0,0.5,0.0,0.0,17.5,0,"Breads, cereals, fastfood,grains"
263,Bean soups,1 cup,100,76.0,3.2,2.0,1.6,0.0,12.0,0,Soups
264,Beef soup,1 cup,100,40.0,2.4,1.6,1.6,0.0,4.4,1,Soups
265,Bouillon,1 cup,100,10.0,2.083333333333333,0.0,0.0,0.0,0.0,0,Soups
266,chicken soup,1 cup,100,30.0,1.6,0.8,0.8,0.0,4.0,1,Soups
267,Clam chowder,1 cup,100,33.333333333333336,1.96078431372549,0.7843137254901961,3.1372549019607843,0.0,4.705882352941177,0,Soups
268,Cream soups,1 cup,100,78.43137254901961,2.7450980392156863,4.705882352941177,4.313725490196078,0.0,7.0588235294117645,0,Soups
269,Noodle,1 cup,100,46.0,2.4,1.6,1.2,0.0,5.2,0,Soups
270,Split-pea soup,1 cup,100,58.8,3.2,1.2,1.2,0.0,10.0,0,Soups
271,Tomato soup,1 cup,100,71.42857142857143,2.4489795918367347,2.8571428571428568,2.4489795918367347,0.0,8.979591836734693,0,Soups
272,Vegetable,1 cup,100,32.0,1.6,0.8,0.8,0.0,5.6,0,Soups
273,Apple betty,1 serving,100,150.0,1.0,4.0,0.0,0.0,29.0,0,"Desserts, sweets"
274,Bread pudding,3/4 cup,100,187.0,5.5,6.0,5.5,0.0,28.0,0,"Desserts, sweets"
275,Cakes,1 slice,100,275.0,7.5,0.0,0.0,0.0,57.5,0,"Desserts, sweets"
276,Chocolate fudge,1 slice,100,350.0,4.166666666666667,11.666666666666664,10.0,0.0,58.33333333333334,0,"Desserts, sweets"
277,Cupcake,1,100,320.0,6.0,6.0,4.0,0.0,62.0,0,"Desserts, sweets"
278,Fruit cake,1 slice,100,350.0,6.666666666666668,13.333333333333336,10.0,0.0,56.66666666666666,0,"Desserts, sweets"
279,Gingerbread,1 slice,100,327.27272727272725,3.636363636363636,12.727272727272727,10.909090909090908,0.0,50.90909090909091,0,"Desserts, sweets"
280,"Plain, with no icing",1 slice,100,327.27272727272725,7.272727272727272,9.090909090909092,7.272727272727272,0.0,56.36363636363637,0,"Desserts, sweets"
281,Sponge cake,1 slice,100,287.5,7.5,5.0,5.0,0.0,55.0,0,"Desserts, sweets"
282,Candy,5,100,416.0,0.0,12.0,12.0,0.0,76.0,0,"Desserts, sweets"
283,Chocolate creams,2,100,433.33333333333326,0.0,13.333333333333336,13.333333333333336,0.0,80.0,0,"Desserts, sweets"
284,Fudge,2 pieces,100,411.11111111111114,0.0,13.333333333333336,12.222222222222221,0.0,88.8888888888889,0,"Desserts, sweets"
285,Hard candies,1 oz.,100,321.42857142857144,0.0,0.0,0.0,0.0,100.0,0,"Desserts, sweets"
286,Marshmallows,5,100,326.6666666666667,3.333333333333333,0.0,0.0,0.0,76.66666666666667,0,"Desserts, sweets"
287,Milk chocolate,2-oz. bar,100,517.8571428571429,3.571428571428572,10.714285714285714,10.714285714285714,0.0,78.57142857142857,0,"Desserts, sweets"
288,Chocolate syrup,2 T.,100,200.0,0.0,0.0,0.0,0.0,55.0,0,"Desserts, sweets"
289,Doughnuts,1,100,409.09090909090907,6.0606060606060606,21.21212121212121,12.12121212121212,0.0,51.51515151515152,0,"Desserts, sweets"
290,"Gelatin, made with water",1 cup,100,64.85355648535564,1.6736401673640169,0.0,0.0,0.0,15.06276150627615,0,"Desserts, sweets"
291,Honey,2 T.,100,285.7142857142857,0.0,0.0,0.0,0.0,71.42857142857143,0,"Jams, Jellies"
292,Ice cream,2 cups,100,83.33333333333333,0.0,0.0,4.0,3.333333333333333,0.0,0,"Desserts, sweets"
293,Ices,1 cup,100,78.0,0.0,0.0,0.0,0.0,32.0,0,"Desserts, sweets"
294,preserves,1 T.,100,275.0,0.0,0.0,0.0,0.0,70.0,0,"Jams, Jellies"
295,Jellies,1 T.,100,250.0,0.0,0.0,0.0,0.0,65.0,0,"Jams, Jellies"
296,Molasses,1 T.,100,225.0,0.0,0.0,0.0,40.0,55.0,0,"Jams, Jellies"
297,Cane Syrup,1 T.,100,250.0,0.0,0.0,0.0,0.0,65.0,0,"Jams, Jellies"
298,"9"" diam. pie",1 slice,100,244.44444444444446,2.2222222222222223,9.629629629629632,8.148148148148149,0.0,39.25925925925926,0,"Desserts, sweets"
299,Cherry Pie,1 slice,100,251.85185185185185,2.2222222222222223,9.629629629629632,8.148148148148149,0.0,40.74074074074074,0,"Desserts, sweets"
300,Custard,1 slice,100,203.84615384615384,5.384615384615384,8.461538461538463,7.6923076923076925,0.0,26.153846153846153,0,"Desserts, sweets"
301,Lemon meringue,1 slice,100,250.0,3.333333333333333,10.0,8.333333333333334,0.0,37.5,0,"Desserts, sweets"
302,Mince,1 slice,100,251.85185185185185,2.2222222222222223,6.666666666666668,5.925925925925926,0.0,45.925925925925924,0,"Desserts, sweets"
303,Pumpkin Pie,1 slice,100,203.84615384615384,3.8461538461538463,9.23076923076923,8.461538461538463,6.153846153846153,26.153846153846153,0,"Desserts, sweets"
304,Puddings Sugar,1 cup,100,385.0,0.0,0.0,0.0,0.0,99.5,0,"Desserts, sweets"
305,3 teaspoons sugar,1 T.,100,416.66666666666674,0.0,0.0,0.0,0.0,100.0,0,"Desserts, sweets"
306,"Brown, firm-packed, dark sugar",1 cup,100,370.45454545454544,0.0,0.0,0.0,0.0,95.45454545454544,0,"Jams, Jellies"
307,Syrup,2 T.,100,250.0,0.0,0.0,0.0,0.0,62.5,0,"Jams, Jellies"
308,table blends sugar,2 T.,100,275.0,0.0,0.0,0.0,0.0,72.5,0,"Jams, Jellies"
309,Tapioca cream pudding,1 cup,100,134.0,4.0,4.0,3.6,0.0,16.8,0,"Desserts, sweets"
310,Almonds,1/2 cup,100,607.1428571428571,18.571428571428573,54.28571428571429,40.0,0.0,18.571428571428573,0,Seeds and Nuts
311,roasted and salted,1/2 cup,100,627.1428571428571,18.571428571428573,57.14285714285714,44.28571428571429,0.0,18.571428571428573,0,Seeds and Nuts
312,Brazil nuts,1/2 cup,100,652.8571428571429,14.285714285714285,67.14285714285714,44.28571428571429,2.8571428571428568,10.0,0,Seeds and Nuts
313,Cashews,1/2 cup,100,560.0,17.142857142857142,45.714285714285715,40.0,0.0,28.57142857142857,0,Seeds and Nuts
314,coconut sweetened,1/2 cup,100,548.0,2.0,40.0,38.0,4.0,52.0,0,Seeds and Nuts
315,Peanut butter,1/3 cup,100,600.0,24.0,50.0,34.0,0.0,18.0,0,Seeds and Nuts
316,"Peanut butter, natural",1/3 cup,100,568.0,26.0,48.0,20.0,0.0,16.0,0,Seeds and Nuts
317,Peanuts,1/3 cup,100,580.0,26.0,50.0,32.0,0.0,18.0,0,Seeds and Nuts
318,Pecans,1/2 cup,100,659.6153846153846,9.615384615384617,67.30769230769229,48.07692307692307,0.0,13.461538461538463,0,Seeds and Nuts
319,Sesame seeds,1/2 cup,100,560.0,18.0,48.0,26.0,0.0,20.0,0,Seeds and Nuts
320,Sunflower seeds,1/2 cup,100,560.0,24.0,52.0,14.0,0.0,20.0,0,Seeds and Nuts
321,Walnuts,1/2 cup,100,650.0,14.0,64.0,14.0,2.0,16.0,0,Seeds and Nuts
322,Beer,2 cups,100,47.5,0.0,0.0,0.0,0.0,1.6666666666666667,0,"Drinks,Alcohol, Beverages"
323,Gin,1 oz.,100,250.0,0.0,0.0,0.0,0.0,0.0,0,"Drinks,Alcohol, Beverages"
324,Wines,1/2 cup,100,136.66666666666666,0.0,0.0,0.0,0.0,7.5,0,"Drinks,Alcohol, Beverages"
325,Table (12.2% alcohol),1/2 cup,100,83.33333333333333,0.0,0.0,0.0,0.0,4.166666666666667,0,"Drinks,Alcohol, Beverages"
326,Carbonated drinks Artificially sweetened,12 oz.,100,0.0,0.0,0.0,0.0,0.0,0.0,0,"Drinks,Alcohol, Beverages"
327,Club soda,12 oz.,100,0.0,0.0,0.0,0.0,0.0,0.0,0,"Drinks,Alcohol, Beverages"
328,Cola drinks,12 oz.,100,39.59537572254335,0.0,0.0,0.0,0.0,10.982658959537574,0,"Drinks,Alcohol, Beverages"
329,Fruit-flavored soda,12 oz.,100,46.53179190751446,0.0,0.0,0.0,0.0,12.13872832369942,0,"Drinks,Alcohol, Beverages"
330,Ginger ale,12 oz.,100,30.346820809248552,0.0,0.0,0.0,0.0,8.092485549132949,0,"Drinks,Alcohol, Beverages"
331,Root beer,12 oz.,100,40.46242774566475,0.0,0.0,0.0,0.0,10.115606936416183,0,"Drinks,Alcohol, Beverages"
332,Coffee,1 cup,100,1.3043478260869563,0.0,0.0,0.0,0.0,0.43478260869565216,0,"Drinks,Alcohol, Beverages"
333,Tea,1 cup,100,1.7391304347826086,0.0,0.0,0.0,0.0,0.43478260869565216,0,"Drinks,Alcohol, Beverages"
