,Age group (years),2001,2004,2007,2010,2013,2016,2019
0,14-17,4.026845637583892,3.64963503649635,2.142857142857143,2.34375,2.0408163265306123,1.0204081632653061,0.9287925696594427
1,18-24,13.422818791946309,14.5985401459854,14.285714285714285,15.625,10.204081632653061,10.204081632653061,10.319917440660474
2,25-29,13.422818791946309,14.5985401459854,14.285714285714285,7.8125,10.204081632653061,10.204081632653061,10.319917440660474
3,30-39,26.845637583892618,21.897810218978105,21.428571428571427,23.4375,20.408163265306122,20.408163265306122,20.639834881320947
4,40-49,20.13422818791946,21.897810218978105,21.428571428571427,23.4375,20.408163265306122,20.408163265306122,20.639834881320947
5,50-59,13.422818791946309,14.5985401459854,14.285714285714285,15.625,20.408163265306122,20.408163265306122,20.639834881320947
6,60-69,5.369127516778524,5.109489051094891,7.142857142857142,7.8125,10.204081632653061,10.204081632653061,10.319917440660474
7,70+,3.3557046979865772,3.64963503649635,5.0,3.90625,6.122448979591836,7.142857142857142,6.191950464396285
